city,year,weekofyear,total_cases
sj,2008,18,3
sj,2008,19,3
sj,2008,20,2
sj,2008,21,5
sj,2008,22,7
sj,2008,23,6
sj,2008,24,6
sj,2008,25,6
sj,2008,26,7
sj,2008,27,7
sj,2008,28,10
sj,2008,29,11
sj,2008,30,16
sj,2008,31,22
sj,2008,32,29
sj,2008,33,31
sj,2008,34,35
sj,2008,35,37
sj,2008,36,47
sj,2008,37,55
sj,2008,38,62
sj,2008,39,62
sj,2008,40,61
sj,2008,41,67
sj,2008,42,62
sj,2008,43,56
sj,2008,44,52
sj,2008,45,50
sj,2008,46,43
sj,2008,47,44
sj,2008,48,44
sj,2008,49,40
sj,2008,50,22
sj,2008,51,18
sj,2008,52,16
sj,2009,1,19
sj,2009,2,18
sj,2009,3,28
sj,2009,4,18
sj,2009,5,16
sj,2009,6,4
sj,2009,7,9
sj,2009,8,12
sj,2009,9,5
sj,2009,10,9
sj,2009,11,7
sj,2009,12,10
sj,2009,13,6
sj,2009,14,3
sj,2009,15,3
sj,2009,16,6
sj,2009,17,3
sj,2009,18,5
sj,2009,19,3
sj,2009,20,4
sj,2009,21,1
sj,2009,22,4
sj,2009,23,5
sj,2009,24,5
sj,2009,25,5
sj,2009,26,6
sj,2009,27,5
sj,2009,28,9
sj,2009,29,10
sj,2009,30,17
sj,2009,31,19
sj,2009,32,17
sj,2009,33,26
sj,2009,34,31
sj,2009,35,46
sj,2009,36,50
sj,2009,37,52
sj,2009,38,59
sj,2009,39,62
sj,2009,40,54
sj,2009,41,54
sj,2009,42,53
sj,2009,43,53
sj,2009,44,53
sj,2009,45,53
sj,2009,46,51
sj,2009,47,49
sj,2009,48,45
sj,2009,49,39
sj,2009,50,41
sj,2009,51,45
sj,2009,52,40
sj,2010,53,32
sj,2010,1,30
sj,2010,2,25
sj,2010,3,28
sj,2010,4,29
sj,2010,5,30
sj,2010,6,30
sj,2010,7,17
sj,2010,8,8
sj,2010,9,9
sj,2010,10,6
sj,2010,11,10
sj,2010,12,9
sj,2010,13,5
sj,2010,14,0
sj,2010,15,5
sj,2010,16,7
sj,2010,17,7
sj,2010,18,6
sj,2010,19,8
sj,2010,20,9
sj,2010,21,10
sj,2010,22,12
sj,2010,23,19
sj,2010,24,22
sj,2010,25,28
sj,2010,26,23
sj,2010,27,25
sj,2010,28,29
sj,2010,29,34
sj,2010,30,42
sj,2010,31,42
sj,2010,32,34
sj,2010,33,35
sj,2010,34,48
sj,2010,35,54
sj,2010,36,54
sj,2010,37,53
sj,2010,38,56
sj,2010,39,56
sj,2010,40,54
sj,2010,41,52
sj,2010,42,48
sj,2010,43,47
sj,2010,44,43
sj,2010,45,41
sj,2010,46,39
sj,2010,47,27
sj,2010,48,15
sj,2010,49,13
sj,2010,50,12
sj,2010,51,12
sj,2011,52,14
sj,2011,1,10
sj,2011,2,8
sj,2011,3,1
sj,2011,4,1
sj,2011,5,2
sj,2011,6,0
sj,2011,7,9
sj,2011,8,12
sj,2011,9,5
sj,2011,10,8
sj,2011,11,10
sj,2011,12,8
sj,2011,13,6
sj,2011,14,7
sj,2011,15,5
sj,2011,16,5
sj,2011,17,3
sj,2011,18,4
sj,2011,19,4
sj,2011,20,3
sj,2011,21,7
sj,2011,22,4
sj,2011,23,6
sj,2011,24,5
sj,2011,25,6
sj,2011,26,5
sj,2011,27,6
sj,2011,28,7
sj,2011,29,9
sj,2011,30,10
sj,2011,31,10
sj,2011,32,11
sj,2011,33,11
sj,2011,34,8
sj,2011,35,9
sj,2011,36,12
sj,2011,37,15
sj,2011,38,22
sj,2011,39,22
sj,2011,40,35
sj,2011,41,32
sj,2011,42,35
sj,2011,43,37
sj,2011,44,29
sj,2011,45,28
sj,2011,46,35
sj,2011,47,29
sj,2011,48,26
sj,2011,49,32
sj,2011,50,19
sj,2011,51,15
sj,2012,52,13
sj,2012,1,11
sj,2012,2,12
sj,2012,3,16
sj,2012,4,19
sj,2012,5,18
sj,2012,6,14
sj,2012,7,11
sj,2012,8,12
sj,2012,9,12
sj,2012,10,12
sj,2012,11,10
sj,2012,12,6
sj,2012,13,5
sj,2012,14,7
sj,2012,15,7
sj,2012,16,5
sj,2012,17,5
sj,2012,18,5
sj,2012,19,8
sj,2012,20,8
sj,2012,21,9
sj,2012,22,8
sj,2012,23,9
sj,2012,24,13
sj,2012,25,13
sj,2012,26,24
sj,2012,27,25
sj,2012,28,27
sj,2012,29,32
sj,2012,30,32
sj,2012,31,39
sj,2012,32,55
sj,2012,33,60
sj,2012,34,59
sj,2012,35,56
sj,2012,36,59
sj,2012,37,55
sj,2012,38,51
sj,2012,39,50
sj,2012,40,49
sj,2012,41,52
sj,2012,42,53
sj,2012,43,55
sj,2012,44,57
sj,2012,45,55
sj,2012,46,53
sj,2012,47,53
sj,2012,48,50
sj,2012,49,46
sj,2012,50,39
sj,2012,51,35
sj,2013,1,28
sj,2013,2,27
sj,2013,3,28
sj,2013,4,29
sj,2013,5,29
sj,2013,6,25
sj,2013,7,14
sj,2013,8,15
sj,2013,9,18
sj,2013,10,14
sj,2013,11,17
sj,2013,12,22
sj,2013,13,24
sj,2013,14,20
sj,2013,15,13
sj,2013,16,1
sj,2013,17,3
iq,2010,26,6
iq,2010,27,6
iq,2010,28,7
iq,2010,29,6
iq,2010,30,7
iq,2010,31,7
iq,2010,32,5
iq,2010,33,7
iq,2010,34,5
iq,2010,35,2
iq,2010,36,4
iq,2010,37,4
iq,2010,38,6
iq,2010,39,7
iq,2010,40,5
iq,2010,41,6
iq,2010,42,7
iq,2010,43,7
iq,2010,44,5
iq,2010,45,3
iq,2010,46,3
iq,2010,47,6
iq,2010,48,5
iq,2010,49,4
iq,2010,50,4
iq,2010,51,4
iq,2011,52,9
iq,2011,1,9
iq,2011,2,15
iq,2011,3,14
iq,2011,4,9
iq,2011,5,13
iq,2011,6,9
iq,2011,7,12
iq,2011,8,12
iq,2011,9,11
iq,2011,10,7
iq,2011,11,10
iq,2011,12,10
iq,2011,13,7
iq,2011,14,8
iq,2011,15,5
iq,2011,16,8
iq,2011,17,6
iq,2011,18,6
iq,2011,19,5
iq,2011,20,5
iq,2011,21,3
iq,2011,22,1
iq,2011,23,2
iq,2011,24,1
iq,2011,25,2
iq,2011,26,3
iq,2011,27,2
iq,2011,28,2
iq,2011,29,3
iq,2011,30,3
iq,2011,31,2
iq,2011,32,3
iq,2011,33,3
iq,2011,34,2
iq,2011,35,1
iq,2011,36,0
iq,2011,37,1
iq,2011,38,2
iq,2011,39,0
iq,2011,40,2
iq,2011,41,3
iq,2011,42,3
iq,2011,43,2
iq,2011,44,4
iq,2011,45,2
iq,2011,46,2
iq,2011,47,4
iq,2011,48,6
iq,2011,49,7
iq,2011,50,8
iq,2011,51,8
iq,2012,52,5
iq,2012,1,9
iq,2012,2,8
iq,2012,3,9
iq,2012,4,12
iq,2012,5,14
iq,2012,6,14
iq,2012,7,13
iq,2012,8,14
iq,2012,9,13
iq,2012,10,12
iq,2012,11,10
iq,2012,12,11
iq,2012,13,8
iq,2012,14,6
iq,2012,15,5
iq,2012,16,4
iq,2012,17,3
iq,2012,18,1
iq,2012,19,2
iq,2012,20,1
iq,2012,21,0
iq,2012,22,0
iq,2012,23,0
iq,2012,24,0
iq,2012,25,1
iq,2012,26,1
iq,2012,27,1
iq,2012,28,0
iq,2012,29,1
iq,2012,30,2
iq,2012,31,2
iq,2012,32,4
iq,2012,33,3
iq,2012,34,1
iq,2012,35,2
iq,2012,36,2
iq,2012,37,3
iq,2012,38,5
iq,2012,39,5
iq,2012,40,7
iq,2012,41,5
iq,2012,42,7
iq,2012,43,6
iq,2012,44,7
iq,2012,45,5
iq,2012,46,7
iq,2012,47,8
iq,2012,48,11
iq,2012,49,10
iq,2012,50,8
iq,2012,51,7
iq,2013,1,9
iq,2013,2,9
